ms,lr,la,Tc*,Pc*,rhoc*
1,7,6,1.9812383453294635,0.18539487719602576,0.305186429579308
1,8,6,1.7268899033184884,0.15833627785250978,0.30368919424650037
1,9,6,1.5556492876909858,0.14150472593956653,0.30613243722557043
1,10,6,1.4316314601539273,0.12947853858086322,0.3076241851890413
1,11,6,1.3442013409121314,0.1233881800889566,0.3096960125288543
1,12,6,1.2735200349406903,0.1166053771648974,0.3130249454219421
1,13,6,1.2164072796651009,0.11163793489637218,0.31476924931037836
1,14,6,1.1694115835065984,0.10762230030628328,0.31786476394186086
1,15,6,1.1315884720049252,0.10621674571353326,0.32276633754834744
1,16,6,1.0984270324148204,0.10367958186071335,0.32181244762202715
1,17,6,1.0694147885918577,0.10091548890946794,0.3251591822155998
1,18,6,1.0451810444947782,0.09919088191110054,0.3252541073649353
1,19,6,1.0216481416083631,0.09723598183922519,0.3297269312279778
1,20,6,1.004409755943842,0.09696297385603919,0.3284994422748541
1,21,6,0.9861067691028849,0.09552560585248897,0.331423809775221
1,22,6,0.9698904597966312,0.09418758048830389,0.3332671543721481
1,23,6,0.9537187543995239,0.09197877523929439,0.3350423454242144
1,24,6,0.9412475340001655,0.09117677826065178,0.337438510607666
1,25,6,0.9272227277455604,0.08974260683110682,0.3399765875817965
1,26,6,0.9159817945538556,0.08842608433306537,0.3384450323849334
1,27,6,0.9053530526281092,0.08782176891777228,0.34239986588255206
1,28,6,0.8979237431474082,0.08838033196843795,0.340655123895514
1,29,6,0.8885932236318933,0.08743720633389322,0.34113881055915596
1,30,6,0.8806277789566653,0.08722899497113097,0.3432633172384974
1,31,6,0.8739265502935317,0.0874096609741397,0.34402317445446867
1,32,6,0.8651103306484208,0.08579653254369224,0.3441515154554021
1,33,6,0.8577927646359009,0.0850024616402567,0.3461447521102181
1,34,6,0.851767650219347,0.0853076459338925,0.34661039002872207
